,rouge1,rouge2,rougeL,rougeLsum
TextRank,0.21126236796504436,0.10644054692734534,0.2070681671019003,0.2066887322169475
LexRank,0.23577795584900077,0.11843411223228903,0.23075763215107667,0.23048015865028315
LSA,0.17382211322549318,0.07880977141765376,0.1707859184708569,0.17072070001283238
KL,0.2034073291580784,0.09986930246110058,0.2001564415558217,0.19963947500316334
Luhn,0.22938170405622646,0.11306958886023438,0.22520965815539917,0.22504851552030047
ruBertSum,0.24600981824443663,0.11620074843956987,0.24210242061830156,0.24179999700967267
